x,y
212,175
212,175
215,174
215,174
218,174
218,174
221,173
221,173
224,172
224,172
226,172
226,172
228,171
228,171
230,171
230,171
232,171
232,171
233,172
233,172
235,172
235,172
236,171
236,171
237,171
237,171
238,171
238,171
239,171
239,171
240,171
240,171
241,171
241,171
242,172
242,172
243,172
243,172
244,172
244,172
245,172
245,172
246,172
246,172
247,173
247,173
248,173
248,173
248,173
248,173
249,173
249,173
249,173
249,173
249,172
249,172
249,172
249,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
250,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
249,172
248,173
248,173
247,174
247,174
245,174
245,174
244,177
244,177
239,179
239,179
236,181
236,181
230,182
230,182
224,183
224,183
217,184
217,184
210,186
210,186
205,186
205,186
199,187
199,187
194,187
194,187
187,188
187,188
181,189
181,189
177,190
177,190
173,191
173,191
168,192
168,192
165,193
165,193
162,193
162,193
160,194
160,194
157,194
157,194
154,195
154,195
154,196
154,196
152,196
152,196
152,196
152,196
152,196
152,196
152,196
152,196
153,196
153,196
152,196
152,196
152,195
152,195
153,195
153,195
153,195
153,195
152,195
152,195
153,195
153,195
153,195
153,195
152,195
152,195
153,195
153,195
154,195
154,195
153,195
153,195
154,195
154,195
153,195
153,195
154,195
154,195
154,195
154,195
155,195
155,195
156,194
156,194
156,194
156,194
157,194
157,194
157,194
157,194
157,194
157,194
157,193
157,193
157,193
157,193
157,193
157,193
160,193
160,193
161,193
161,193
163,192
163,192
165,192
165,192
168,192
168,192
171,192
171,192
175,192
175,192
179,192
179,192
182,191
182,191
186,190
186,190
189,189
189,189
193,188
193,188
195,188
195,188
199,187
199,187
201,188
201,188
204,188
204,188
207,189
207,189
208,189
208,189
210,189
210,189
211,189
211,189
212,189
212,189
213,189
213,189
213,190
213,190
212,190
212,190
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
214,189
214,189
214,189
214,189
214,189
214,189
214,189
214,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
213,189
214,188
214,188
214,188
214,188
215,188
215,188
215,188
215,188
216,188
216,188
216,188
216,188
216,187
216,187
216,188
216,188
217,187
217,187
219,187
219,187
221,186
221,186
223,185
223,185
225,184
225,184
227,183
227,183
228,183
228,183
229,183
229,183
232,182
232,182
233,182
233,182
234,182
234,182
235,182
235,182
236,181
236,181
238,181
238,181
240,181
240,181
242,181
242,181
244,181
244,181
245,182
245,182
247,182
247,182
248,182
248,182
249,182
249,182
251,183
251,183
251,183
251,183
251,183
251,183
252,183
252,183
251,183
251,183
251,183
251,183
251,183
251,183
251,183
251,183
251,184
251,184
251,184
251,184
251,184
251,184
251,184
251,184
250,184
250,184
250,184
250,184
250,184
250,184
250,184
250,184
250,183
250,183
250,183
250,183
249,183
249,183
248,183
248,183
248,183
248,183
247,182
247,182
247,183
247,183
245,182
245,182
243,182
243,182
239,179
239,179
232,175
232,175
229,173
229,173
229,174
229,174
226,172
226,172
224,170
224,170
221,167
221,167
218,165
218,165
216,163
216,163
214,160
214,160
212,158
212,158
